Comment,Designator,Footprint,LCSC Part #
"B5819W","D1","D_SOD-123",""
"B5819W","D2","D_SOD-123",""
"B5819W","D3","D_SOD-123",""
"B5819W","D4","D_SOD-123",""
"B5819W","D5","D_SOD-123",""
"B5819W","D6","D_SOD-123",""
"B5819W","D7","D_SOD-123",""
"B5819W","D8","D_SOD-123",""
"175448-6","J1","1754486",""
"6437288-2","J2","TE_6437288-2",""
"USB_C_Receptacle_USB2.0_14P","J3","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"Module:mega-mcu144/0.7","M1","mega-mcu144",""
"Module:vr-discrete/0.5","M2","vr-discrete",""
"Module:vr-max9924/0.1","M3","vr-max9924",""
"Module:power_12and5V/0.3","M4","power_12and5V",""
"Module:knock/0.2","M5","knock",""
"Module:can/0.1","M6","can",""
"Module:wbo/0.5","M7","wbo",""
"4.7k","R1","R0402",""
"4.7k","R2","R0402",""
"4.7k","R3","R0402",""
"4.7k","R4","R0402",""
"5.1k","R5","R0402",""
"5.1k","R6","R0402",""
"4.7k","R7","R0402",""
"4.7k","R8","R0402",""
"4.7k","R9","R0402",""
"4.7k","R10","R0402",""
"~","U1","VNLD5090-E",""
"~","U2","VNLD5090-E",""
"~","U3","VNLD5090-E",""
"~","U4","VNLD5090-E",""
"~","U5","VNLD5090-E",""
"~","U6","VNLD5090-E",""
