Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D1,14.0mm,88.250000mm,Bottom,0.0,14.0mm,88.250000mm
D2,7.75mm,88.250000mm,Bottom,0.0,7.75mm,88.250000mm
D3,85.5mm,83.750000mm,Bottom,180.0,85.5mm,83.750000mm
D4,79.1mm,83.750000mm,Bottom,0.0,79.1mm,83.750000mm
R1,81.0mm,78.500000mm,Bottom,90.0,81.0mm,78.500000mm
R2,83.75mm,78.510000mm,Bottom,90.0,83.75mm,78.510000mm
R5,34.75mm,4.750000mm,Bottom,90.0,34.75mm,4.750000mm
R6,33.75mm,4.750000mm,Bottom,90.0,33.75mm,4.750000mm
U1,5.5mm,53.250000mm,Bottom,0.0,5.5mm,53.250000mm
U2,5.5mm,59.250000mm,Bottom,0.0,5.5mm,59.250000mm
U5,5.5mm,41.250000mm,Bottom,0.0,5.5mm,41.250000mm
U6,5.475mm,47.385000mm,Bottom,0.0,5.475mm,47.385000mm
D5,12.500000mm,29.000000mm,Top,90.0,12.500000mm,29.000000mm
D6,17.500000mm,29.000000mm,Top,90.0,17.500000mm,29.000000mm
D7,10.000000mm,29.000000mm,Top,90.0,10.000000mm,29.000000mm
D8,15.000000mm,29.000000mm,Top,90.0,15.000000mm,29.000000mm
J1,94.050000mm,86.050000mm,Top,90.0,94.050000mm,86.050000mm
J2,14.500000mm,51.250000mm,Top,-90.0,14.500000mm,51.250000mm
J3,34.000000mm,3.750000mm,Top,0.0,34.000000mm,3.750000mm
J4,90.475000mm,70.700000mm,Top,-90.0,90.475000mm,70.700000mm
M1,72.525001mm,60.675002mm,Top,180.0,72.525001mm,60.675002mm
M2,69.975000mm,81.725000mm,Top,-90.0,69.975000mm,81.725000mm
M3,58.650000mm,81.662500mm,Top,-90.0,58.650000mm,81.662500mm
M4,9.374999mm,3.724999mm,Top,0.0,9.374999mm,3.724999mm
M5,44.550000mm,81.650000mm,Top,-90.0,44.550000mm,81.650000mm
M6,73.812499mm,13.668337mm,Top,180.0,73.812499mm,13.668337mm
M7,94.925000mm,30.775000mm,Top,90.0,94.925000mm,30.775000mm
R3,22.750000mm,45.500000mm,Top,-90.0,22.750000mm,45.500000mm
R4,25.000000mm,45.510000mm,Top,-90.0,25.000000mm,45.510000mm
R7,24.250000mm,31.750000mm,Top,-90.0,24.250000mm,31.750000mm
R8,26.750000mm,31.750000mm,Top,-90.0,26.750000mm,31.750000mm
R9,25.500000mm,31.750000mm,Top,-90.0,25.500000mm,31.750000mm
R10,28.000000mm,31.750000mm,Top,-90.0,28.000000mm,31.750000mm
U3,13.000000mm,78.250000mm,Top,90.0,13.000000mm,78.250000mm
U4,83.000000mm,78.000000mm,Top,90.0,83.000000mm,78.000000mm
