Ref,Val,Package,PosX,PosY,Rot,Side
"D1","B5819W","D_SOD-123",-14.000000,88.250000,0.000000,bottom
"D2","B5819W","D_SOD-123",-7.750000,88.250000,0.000000,bottom
"D3","B5819W","D_SOD-123",-85.500000,83.750000,180.000000,bottom
"D4","B5819W","D_SOD-123",-79.100000,83.750000,0.000000,bottom
"R1","4.7k","R_0402_1005Metric",-81.000000,78.500000,90.000000,bottom
"R2","4.7k","R_0402_1005Metric",-83.750000,78.510000,90.000000,bottom
"R5","5.1k","R_0402_1005Metric",-34.750000,4.750000,90.000000,bottom
"R6","5.1k","R_0402_1005Metric",-33.750000,4.750000,90.000000,bottom
"U1","~","VNLD5090-E",-5.500000,53.250000,0.000000,bottom
"U2","~","VNLD5090-E",-5.500000,59.250000,0.000000,bottom
"U5","~","VNLD5090-E",-5.500000,41.250000,0.000000,bottom
"U6","~","VNLD5090-E",-5.475000,47.385000,0.000000,bottom
"C1","100n","C_0402_1005Metric",88.730000,18.750000,0.000000,top
"C2","10n","C_0402_1005Metric",90.500000,15.500000,90.000000,top
"D5","B5819W","D_SOD-123",12.500000,29.000000,90.000000,top
"D6","B5819W","D_SOD-123",17.500000,29.000000,90.000000,top
"D7","B5819W","D_SOD-123",10.000000,29.000000,90.000000,top
"D8","B5819W","D_SOD-123",15.000000,29.000000,90.000000,top
"J1","175448-6","1754486",94.050000,86.050000,90.000000,top
"J2","6437288-2","TE_6437288-2",14.500000,51.250000,-90.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",34.000000,3.750000,0.000000,top
"J4","Conn_02x03_Counter_Clockwise","Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal",90.475000,70.700000,-90.000000,top
"M1","Module-mega-mcu144-0.7","mega-mcu144",72.525001,60.675002,180.000000,top
"M2","Module-vr-discrete-0.5","vr-discrete",69.475000,81.725000,-90.000000,top
"M3","Module-vr-max9924-0.1","vr-max9924",58.650000,81.662500,-90.000000,top
"M4","Module-power_12and5V-0.3","power_12and5V",9.374999,3.724999,0.000000,top
"M5","Module-knock-0.2","knock",44.550000,81.650000,-90.000000,top
"M6","Module-can-0.1","can",73.812499,13.668337,180.000000,top
"M7","Module-wbo-0.5","wbo",94.925000,30.775000,90.000000,top
"R3","4.7k","R_0402_1005Metric",22.750000,45.500000,-90.000000,top
"R4","4.7k","R_0402_1005Metric",25.000000,45.510000,-90.000000,top
"R7","4.7k","R_0402_1005Metric",24.250000,31.750000,-90.000000,top
"R8","4.7k","R_0402_1005Metric",26.750000,31.750000,-90.000000,top
"R9","4.7k","R_0402_1005Metric",25.500000,31.750000,-90.000000,top
"R10","4.7k","R_0402_1005Metric",28.000000,31.750000,-90.000000,top
"U3","~","VNLD5090-E",13.000000,78.250000,90.000000,top
"U4","~","VNLD5090-E",83.000000,78.000000,90.000000,top
"U7","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",86.250000,15.500000,180.000000,top
